employee_id,date,calls_handled,avg_call_time,escalation_count,resolution_status
EMP120,2024-01-26,29,4.52,3,Escalated
EMP148,2024-03-19,48,5.74,4,Escalated
EMP105,2024-06-03,54,6.86,6,Escalated
EMP130,2024-03-20,45,7.57,6,Escalated
EMP115,2024-02-04,27,6.24,4,Escalated
EMP143,2024-03-08,33,6.07,2,Resolved
EMP138,2024-06-04,29,6.63,3,Escalated
EMP121,2024-06-07,29,6.44,1,Resolved
EMP141,2024-04-26,32,4.19,5,Escalated
EMP138,2024-03-15,38,4.34,0,Resolved
EMP142,2024-03-07,27,5.14,1,Resolved
EMP132,2024-05-18,35,7.24,2,Resolved
EMP146,2024-02-15,55,7.53,5,Escalated
EMP150,2024-06-28,42,5.52,6,Escalated
EMP107,2024-05-18,50,4.84,4,Escalated
EMP105,2024-05-11,49,6.85,5,Escalated
EMP131,2024-02-20,35,4.5,6,Escalated
EMP107,2024-03-18,54,6.56,5,Escalated
EMP110,2024-04-14,54,6.58,3,Escalated
EMP110,2024-03-13,59,5.08,5,Escalated
EMP124,2024-01-27,47,4.44,2,Resolved
EMP102,2024-03-26,33,6.86,0,Resolved
EMP106,2024-02-09,52,6.63,6,Escalated
EMP106,2024-01-13,30,6.16,0,Resolved
EMP106,2024-06-28,29,4.76,1,Resolved
EMP116,2024-02-17,29,7.54,3,Escalated
EMP149,2024-02-19,29,7.54,2,Resolved
EMP126,2024-03-09,34,6.82,1,Resolved
EMP149,2024-01-11,46,6.39,3,Escalated
EMP113,2024-02-12,35,5.6,5,Escalated
EMP146,2024-03-14,31,5.56,0,Resolved
EMP144,2024-04-05,46,7.75,3,Escalated
EMP128,2024-03-19,41,7.88,2,Resolved
EMP105,2024-03-11,52,8.17,4,Escalated
EMP129,2024-06-12,45,5.92,6,Escalated
EMP106,2024-04-13,42,5.13,4,Escalated
EMP145,2024-05-03,43,5.15,3,Escalated
EMP118,2024-03-21,38,4.48,2,Resolved
EMP104,2024-04-11,34,6.96,2,Resolved
EMP142,2024-04-15,25,6.12,0,Resolved
